time,total_cpu_pct
14:07:06,85.9
14:07:13,85.5
14:07:16,85.9
14:07:23,83.8
14:07:26,80.8
14:07:33,83.2
14:07:36,85.8
14:07:43,89.6
14:07:46,91.2
14:07:53,86.8
14:07:56,84
14:08:03,86.3
14:08:06,87.3
14:08:13,90.3
14:08:16,91.4
14:08:23,84.6
14:08:26,83.6
14:08:33,86.2
14:08:37,86.5
14:08:43,85.8
14:08:47,85.6
14:08:53,87.2
14:08:57,85.4
14:09:03,80.1
14:09:07,83.5
14:09:13,92.8
14:09:17,91
14:09:23,84.1
14:09:27,83.2
14:09:33,87.3
14:09:37,88.5
14:09:43,91.3
14:09:47,90.4
14:09:53,84.3
14:09:57,83.6
14:10:03,82.1
14:10:07,81.2
14:10:13,85
14:10:17,85.3
14:10:23,83.5
14:10:27,82.3
14:10:33,84.7
14:10:37,86.9
14:10:43,89.5
14:10:47,90.1
14:10:53,84.7
14:10:57,83.7
14:11:03,86.1
14:11:07,84.8
14:11:13,83.5
14:11:17,85.5
14:11:23,82.6
14:11:27,79.2
14:11:33,82.3
14:11:37,86.7
14:11:43,90.3
14:11:47,90.9
14:11:54,82.4
14:11:57,76.4
14:12:04,77.7
14:12:07,80.4
14:12:14,83.2
14:12:17,83.5
14:12:24,78.8
14:12:27,73.9
14:12:34,71.8
14:12:37,78.4
14:12:44,91.5
14:12:47,94.1
14:12:54,89.9
14:12:57,85.7
14:13:04,85.7
14:13:07,87.8
14:13:14,88
14:13:17,86
14:13:24,82.2
14:13:27,80.9
14:13:34,81.8
14:13:37,84
14:13:44,85.3
14:13:47,85.9
14:13:54,82.1
14:13:57,79.3
14:14:04,82.7
14:14:07,86.1
14:14:14,86.9
14:14:17,85.7
14:14:24,91.5
14:14:27,96
14:14:34,94.3
14:14:37,93
14:14:44,96.4
14:14:47,97.9
14:14:54,99.5
14:14:57,98.9
14:15:04,98.7
14:15:07,99.5
14:15:14,99.5
14:15:17,99.5
14:15:24,98.9
14:15:27,96.5
14:15:34,91.5
14:15:37,90.5
14:15:44,90.3
14:15:47,91.5
14:15:54,96.5
14:15:57,98.2
14:16:04,93.5
14:16:07,90.7
14:16:14,92.6
14:16:17,91.9
14:16:24,87
14:16:27,87.2
14:16:34,93.6
14:16:37,96.3
14:16:44,97.1
14:16:47,96.8
14:16:54,96.4
14:16:57,95.3
14:17:04,92.4
14:17:08,93.2
14:17:14,92
14:17:18,88.1
14:17:24,84.6
14:17:28,85.6
14:17:34,90.4
14:17:38,93.4
14:17:44,98.2
14:17:48,99.6
14:17:54,98.9
14:17:58,98.7
14:18:04,92.8
14:18:08,84.8
14:18:14,83.8
14:18:18,91.9
14:18:24,99.2
14:18:28,99.1
14:18:34,97.5
14:18:40,90.2
14:18:44,85.8
14:18:50,91.7
14:18:54,96.3
14:19:01,96.8
14:19:04,97
14:19:11,98.7
14:19:15,99.8
14:19:22,100
14:19:26,100
14:19:33,100
14:19:37,100
14:19:43,100
14:19:47,100
14:19:53,100
14:19:57,100
14:20:03,100
14:20:07,100
14:20:13,100
14:20:17,100
14:20:24,100
14:20:27,100
14:20:34,100
14:20:37,100
14:20:44,100
14:20:47,100
14:20:54,100
14:20:57,100
14:21:04,100
14:21:08,100
14:21:14,100
14:21:18,100
14:21:24,100
14:21:28,100
14:21:34,100
14:21:38,100
14:21:44,100
14:21:48,100
14:21:54,100
14:21:58,100
